id,name,url,commit,type
0,BEGAN,https://github.com/artcg/BEGAN,39d5f745d52f146c0bbdf6eed68f30ed274bb6f4,ds
1,bat-country,https://github.com/jrosebr1/bat-country,894af13bd777ab8aa989baf520db074b97cfad9a,ds
2,chatbot-rnn,https://github.com/pender/chatbot-rnn,82cbb710beaf15da11b60e03f00bdbfd521df754,ds
3,poeai,https://github.com/nicholastoddsmith/poeai,e95add37348f402b7e42f0e978b6af466dc0b055,ds
4,open-solution-data-science-bowl-2018,https://github.com/minerva-ml/open-solution-data-science-bowl-2018,5874c22600c2cb5b731fe9bce7d3f72a2ed11e5e,ds
5,neural-network-genetic-algorithm,https://github.com/harvitronix/neural-network-genetic-algorithm,66ce11abbf5b3d9bac0d39723db8eb1ae856373f,ds
6,YOLOv3-tensorflow,https://github.com/maiminh1996/YOLOv3-tensorflow,f8c197295afa3ec8006ed01e62cb708fe1a14d87,ds
7,loss-landscape,https://github.com/tomgoldstein/loss-landscape,64ef4d57f8dabe79b57a637819c44e48eda98f33,ds
8,deep-learning-benchmark,https://github.com/u39kun/deep-learning-benchmark,9dc3e36e6f97e0edf270a813f350fca1fb0e014e,ds
9,image-compression-cnn,https://github.com/iamaaditya/image-compression-cnn,6928dc0f409448ca6c063197bbed365c44e0e7bb,ds
10,encore.ai,https://github.com/dyelax/encore.ai,32c1732e314583ac1488c5d219c3ba89e6e16d20,ds
11,datamining,https://github.com/LouisScorpio/datamining,304df5dca47882b7cddca193869290fb4ca16985,ds
12,GraphGAN,https://github.com/hwwang55/GraphGAN,3f1c3f7db6b8b5102eea899659d4c52f64c4288c,ds
13,skorch,https://github.com/skorch-dev/skorch,e0e41cc1c3975ef9b4e9baf4218fb4e33b055bf1,ds
14,self_drive,https://github.com/Timthony/self_drive,c0fc65fd3df70dc099a1fdff6d538283525b247a,ds
15,scalable_agent,https://github.com/deepmind/scalable_agent,6c0c8a701990fab9053fb338ede9c915c18fa2b1,ds
16,attention-over-attention,https://github.com/OlavHN/attention-over-attention,dc7694e2816b30b9588da433a53838cbf0378b84,ds
17,deep-ctr,https://github.com/wnzhang/deep-ctr,229ad52cb97bc213012ba596b451990dcca6b897,ds
18,product-nets,https://github.com/Atomu2014/product-nets,f0ba27444c89ed745fad27db1aa866e7b2ccabd8,ds
19,milk,https://github.com/luispedro/milk,abc2a28b526c199414d42c0a26092938968c3caf,ds
20,R-net,https://github.com/NLPLearn/R-net,a5721684dc0ae088ae806f12d8d5a974a1fc0b90,ds
21,handwriting-generation,https://github.com/Grzego/handwriting-generation,26a618b647e3a0ae195f9bf84370e9d091caf5ad,ds
22,tensorflow_end2end_speech_recognition,https://github.com/hirofumi0810/tensorflow_end2end_speech_recognition,65b9728089d5e92b25b92384a67419d970399a64,ds
23,pytorch-caffe-darknet-convert,https://github.com/marvis/pytorch-caffe-darknet-convert,,ds
24,Adversarial_Video_Generation,https://github.com/dyelax/Adversarial_Video_Generation,9b0d10f357871231bbec06c610363588812216e1,ds
25,nnabla,https://github.com/sony/nnabla,cfc27f833a51848d555546f4e1138434b2ea8b99,ds
26,pcam,https://github.com/basveeling/pcam,6370e489b10c5f0f7e389e9bfc9772a36db2a5a0,ds
27,words2map,https://github.com/overlap-ai/words2map,25705a7d655853ab254e4f4218186eb65b58d3f1,ds
28,hyperface,https://github.com/takiyu/hyperface,0690aceee301fd4d17eba6d94a489eb8b425d47b,ds
29,seq2seq,https://github.com/bojone/seq2seq,24ff08f5c46262b818020922ea7b861dde282d3c,ds
30,deepvoice3_pytorch,https://github.com/r9y9/deepvoice3_pytorch,a5c24624bad314db5a5dcb0ea320fc3623a94f15,ds
31,D-GEX,https://github.com/uci-cbcl/D-GEX,384b2e705f34d91f66644f24043d271b6579bf9a,ds
32,Wordbatch,https://github.com/anttttti/Wordbatch,e2be83bd6c407ec3fd63f53216eb04083bcd21cf,ds
33,django-anymail,https://github.com/anymail/django-anymail,3e0056fa2f64acf9ee4f28025846547da16f6bbf,ds
34,enet-keras,https://github.com/PavlosMelissinos/enet-keras,95ce39474b4b95521b64d176dfb7455d57716fde,ds
35,Caffe-Python-Tutorial,https://github.com/tostq/Caffe-Python-Tutorial,5e5b98a878395e7f795ecab176c1919a3208ecd8,ds
36,sequence_gan,https://github.com/ofirnachum/sequence_gan,6f0feffb0b0439563886d025a11bc747c961d962,ds
37,qlearning4k,https://github.com/farizrahman4u/qlearning4k,8d7e54e97c00e0e066567adf8246e94e125b35ae,ds
38,text-classification-cnn-rnn,https://github.com/gaussic/text-classification-cnn-rnn,90dd55cccacac663e87445ed356bf59307864168,ds
39,WaterNet,https://github.com/treigerm/WaterNet,5f30e796b03519b1d79be2ac1f148b873bf9e877,ds
40,char-rnn-cn,https://github.com/leido/char-rnn-cn,7ea987ccce46b2b2b712c751e3059b8dd287b272,ds
41,hdDeepLearningStudy,https://github.com/mike-bowles/hdDeepLearningStudy,a06f0755193654d4b48c8066cdf45da0c96fb69b,ds
